,Status,Data,PNL,Ler,Autor ler,Editora,Ouvir,Artista ouvir,Editora ouvir,Ver,Plataforma,Jogar,Para Ir
20,Enviada,12-08-2021,0,O fim do homem Soviético,Svetlana Alexievitch,Porto Editora,Buraka 4 Ever,Buraka Som Sistema,,Terra: Emergência Climática,RTP Play,Haven,FAZUNCHAR 2021 - Festival de Arte Urbana de Figueiró dos Vinhos
21,Enviada,19-08-2021,1,PNL - Poesia Reunida,Maria do Rosário Pedreira,Quetzal,Foz,André Pizarro,,Começar de Novo,RTP Play,Dodgeball Academia,"ZigurFest, Lamego"
22,Enviada,26-08-2021,0,Mulheres Invisíveis,Carolina Criado Perez,Relógio d'Água,Flagship,Império Pacífico,,Jogos Paralímpicos,RTP Play,Slime Rancher,Feiras do livro de Lisboa e Porto
23,Enviada,02-09-2021,1,PNL - Jesus Cristo Bebia Cerveja,Afonso Cruz,Companhia das Letras,Homem Severo,Yagmar,,Por do sol,RTP Play,12 Minutes,Festival BD Beja
24,Enviada,09-09-2021,0,Gerador - Setembro 2021,,,Bem Bonda,Criatura,,Afeganistão: A Terra Ferida ,RTP Play,Hades,Encontro da Canção de Protesto - Grândola
25,Enviada,16-09-2021,1,PNL - Sinais de Fogo,Jorge de Sena,Livros do Brasil,Cisma,We Sea,,Generation 9/11,RTP Play,Stardew Valley,Bienal Arte Contemporânea da Maia
26,Enviada,23-09-2021,0,Shifter - nuclear,Luís Guimarais,Shifter,Chão do Parque,zé menos,,Inspeção Periódica,,Ikenfell,World Press Cartoon 2021 (Caldas da Rainha)
27,Enviada,30-09-2021,0,"Portugal anda a perder ""obras de arte fundamentais""",Isabel Patrício,Gerador,Fladu Fla,Fogo Fogo,,Caos Danado,RTP Palco,Night In The Woods,Mês do Teatro Montemor-o-Novo
28,Enviada,07-10-2021,1,PNL - A Balada da Praia dos Cães,José Cardoso Pires,Relógio d'Água,Terra-Mãe,João Não/Lil Noon,,Bacurau,RTP Play,Superliminal,Film Fest - Festival de Cinema Musicado ao Vivo
29,Enviada,21-10-2021,0,O Museu da Rendição Incondicional,Dubravka Ugre?i?,Cavalo de Ferro,CAOS'A,Rita Vian,,Aldina Duarte - Quando Se Ama Loucamente ,RTP Palco,Undertale,Amadora BD
30,Enviada,03-11-2021,1,PNL - O Retorno,Dulce Maria cardoso,Tinta da China,Oceano-Mar,Ocenpsea,,Mirai,RTP Play,Backbone,Guimarães Jazz 30 Anos
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Ooblets,
,,,,,,,,,,,,Genesis Noir,
,,,,,,,,,,,,Last Stop,
,,,,,,,,,,,,CrisTales,
,,,,,,,,,,,,,
,,,,,,,,,,,,You are Dead,
,,,,,,,,,,,,Ori,
